FIRE;;;;;;;;;;;;;;;;;NOFIRE;;;;;;;;;;;;;;;
imagem;index;mediana;mean global;desvio;mean blue;desv blue;mean green;desv green;mean red;desv red;R/G mean;R/B mean;R/G desv;R/B desv;Coluna1;;imagem;index;mediana;mean global;desvio;mean blue;desv blue;mean green;desv green;mean red;desv red;R/G mean;R/B mean;R/G desv;R/B desv;Coluna1
5;39;196;159,569;94,944;29,581;4,009;195,81;5,17;253,317;1,144;1,294;8,564;0,221;0,285;82,99300699;;5;97;10;18,279;25,407;6,779;8,462;15,066;16,71;32,992;35,024;2,19;4,867;2,096;4,139;1,378517731
2;67;174;144,654;93,617;31,784;16,961;171,506;63,941;230,672;32,506;1,345;7,257;0,508;1,917;2,879991386;;2;47;7;17,175;23,131;12,376;14,963;9,93;14,351;29,219;30,897;2,943;2,361;2,153;2,065;1,335739916
5;38;189;158,157;93,37;31,549;5,705;189,277;1,841;253,646;1,222;1,34;8,04;0,663;0,214;76,40752864;;5;98;11;17,352;23,117;6,829;8,408;13,426;15,641;31,802;30,87;2,369;4,657;1,974;3,671;1,335380889
5;29;193;159,523;92,899;33,168;7,01;192,13;4,753;253,27;1,196;1,318;7,636;0,252;0,171;77,67474916;;5;93;12;17,949;22,208;6,496;6,876;13,621;13,595;33,731;29,129;2,476;5,193;2,143;4,237;1,311644452
2;77;195;155,04;92,337;38,219;20,148;186,141;51,712;240,76;23,157;1,293;6,299;0,448;1,149;3,987433605;;1;72;33;43,539;23,602;26,266;5,35;44,133;10,773;60,219;30,815;1,364;2,293;2,86;5,76;1,305609694
2;66;188;155,175;91,794;34,832;17,325;185,962;36,138;244,733;14,877;1,316;7,026;0,412;0,859;6,170195604;;5;16;17;37,691;52,114;15,326;22,316;35,597;44,503;62,15;67,575;1,746;4,055;1,518;3,028;1,296676517
5;48;192;159,479;91,756;34,931;5,655;191;7,932;252,506;1,703;1,322;7,229;0,215;0,301;53,87903699;;5;99;9;14,931;17,597;6,078;7,894;12,536;12,07;26,178;22,591;2,088;4,307;1,872;2,862;1,283798375
2;65;179;152,55;91,704;34,528;17,675;179,03;40,258;244,093;16,892;1,363;7,069;0,42;0,956;5,428842055;;1;97;27;38,832;22,682;26,11;6,666;42,435;19,921;47,95;29,056;1,13;1,836;1,459;4,359;1,281015783
5;28;182;156,38;91,378;34,538;11,526;181,12;5,315;253,483;1,386;1,4;7,339;0,261;0,12;65,92929293;;5;26;20;38,111;48,337;13,966;18,932;33,79;37,943;66,576;61,64;1,97;4,767;1,625;3,256;1,275213604
5;49;210;167,9;91,343;41,349;7,524;209,872;6,437;252,478;1,485;1,203;6,106;0,231;0,197;61,51043771;;5;71;5;7,735;9,091;2,802;4,13;6,174;5,339;14,23;11,55;2,305;5,079;2,163;2,797;1,270487295
2;76;175;148,701;91,288;35,92;15,303;164,814;48,372;245,368;10,15;1,489;6,831;0,21;0,663;8,993891626;;4;99;61;63,79;26,31;62,701;17,288;70,33;24,325;58,339;33,354;0,83;0,93;1,371;1,929;1,267730901
2;20;159;147,168;91,139;33,526;10,7;160,733;40,436;247,245;7,453;1,538;7,375;0,184;0,697;12,22849859;;5;94;8;11,983;14,062;5,019;6,91;10,174;10,086;20,755;17,748;2,04;4,135;1,76;2,568;1,262124876
2;52;154;143,955;90,783;41,094;14,973;153,275;68,326;237,494;20,371;1,549;5,779;0,298;1,361;4,456482254;;5;70;6;11,053;14,531;4,792;8,489;8,128;10,087;20,24;18,098;2,49;4,224;1,794;2,132;1,245475191
2;64;159;147,96;90,44;34,493;17,164;163,598;37,943;245,789;10,676;1,502;7,126;0,281;0,622;8,47133758;;1;96;34;42,894;22,981;27,888;7,404;46,798;18,777;53,997;28,518;1,154;1,936;1,519;3,852;1,240938166
5;37;182;156,453;90,321;36,064;3,214;180,046;6,376;253,25;1,642;1,407;7,022;0,258;0,511;55,00669915;;4;89;69;77,493;39,092;64,355;25,514;82,579;36,315;85,544;48,494;1,036;1,329;1,335;1,901;1,240509567
2;75;140;135,018;89,714;31,749;11,709;137,614;47,769;235,691;30,337;1,713;7,424;0,635;2,591;2,957246926;;5;92;13;20,339;23,683;7,72;10,054;16,142;16,2;37,154;29,318;2,302;4,813;1,81;2,916;1,237934383
2;69;157;148,613;89,468;47,326;29,279;175,33;68,711;223,182;43,612;1,273;4,716;0,635;1,49;2,051453728;;5;95;7;11,909;12,37;5,63;6,395;9,946;8,934;20,15;15,073;2,026;3,579;1,687;2,357;1,21851253
5;47;150;135,978;89,455;24,934;4,063;144,354;25,907;238,646;19,424;1,653;9,571;0,75;4,781;4,605385091;;1;98;34;42,142;21,496;27,93;7,956;46,349;18,074;52,149;26,008;1,125;1,867;1,439;3,269;1,209899516
2;79;146;156,265;88,87;51,661;30,942;170,749;58,197;246,384;8,712;1,443;4,769;0,15;0,282;10,20087236;;5;56;15;23,287;27,848;11,035;17,398;20,741;22,713;38,086;33,65;1,836;3,451;1,482;1,934;1,208345303
2;30;124;138,535;88,834;35,258;8,966;131,667;26,44;248,68;7,039;1,889;7,053;0,266;0,785;12,62025856;;1;70;27;26,89;4,646;22,773;2,095;29,038;1,89;28,859;5,599;0,994;1,267;2,962;2,672;1,205122686
2;31;187;156,541;88,48;49,808;23,004;180,534;62,057;239,28;17,099;1,325;4,804;0,276;0,743;5,174571612;;1;95;35;42,802;22,314;27,518;9,394;47,453;17,91;53,434;26,767;1,126;1,942;1,495;2,849;1,199560814
2;78;117;126,47;87,841;28,426;9,934;116,304;28,34;234,682;28,643;2,018;8,256;1,011;2,883;3,066752784;;1;71;35;65,873;63,973;35,163;27,709;64,747;61,163;97,707;76,23;1,509;2,779;1,246;2,751;1,191596455
2;21;178;159,494;87,522;49,149;21,518;181,594;44,867;247,739;7,259;1,364;5,041;0,162;0,337;12,05703265;;1;99;35;42,858;20,947;28,726;7,911;47,142;18,062;52,704;24,75;1,118;1,835;1,37;3,129;1,181553444
2;33;138;138,734;86,605;44,246;21,288;154,048;70,505;217,907;40,573;1,415;4,925;0,575;1,906;2,134547606;;5;36;17;29,31;33,019;10,256;16,285;25,202;24,25;52,474;38,743;2,082;5,116;1,598;2,379;1,173354735
2;63;160;147,332;86,545;43,779;12,602;156,862;47,589;241,355;19,802;1,539;5,513;0,416;1,571;4,370518129;;5;15;38;57,231;56,814;25,342;27,702;45,674;38,375;100,677;66,374;2,204;3,973;1,73;2,396;1,168268385
2;42;150;144,934;86,037;41,603;15,052;153,917;45,31;239,283;16,364;1,555;5,752;0,361;1,087;5,257699829;;1;60;35;53,187;35,919;26,659;7,041;46,782;15,411;86,12;41,882;1,841;3,23;2,718;5,949;1,166012417
2;89;130;133,007;85,63;35,016;18,35;129,616;33,801;234,39;25,018;1,808;6,694;0,74;1,363;3,42273563;;4;97;126;128,337;35,21;115,499;25,374;135,198;33,912;134,312;40,961;0,993;1,163;1,208;1,614;1,16333428
5;58;169;146,282;85,437;48,226;24,982;165,702;55,041;224,918;45,485;1,357;4,664;0,826;1,821;1,878355502;;5;5;33;55,78;58,348;28,43;34,191;49,085;49,993;89,824;67,776;1,83;3,159;1,356;1,982;1,161582231
2;88;134;144,827;85,272;44,165;17,21;145,648;36,069;244,669;10,707;1,68;5,54;0,297;0,622;7,964135612;;4;79;74;82,501;45,985;60,728;28,757;86,36;43,354;100,416;53,174;1,163;1,654;1,227;1,849;1,156333587
2;32;225;173,442;84,717;68,446;26,945;212,021;58,526;239,859;21,359;1,131;3,504;0,365;0,793;3,966337375;;4;90;57;63,225;33,438;45,306;20,888;67,39;29,957;76,979;38,638;1,142;1,699;1,29;1,85;1,155511693
2;87;205;167,446;84,422;53,928;17,784;201,704;25,546;246,707;8,379;1,223;4,575;0,328;0,471;10,07542666;;1;73;43;45,432;16,135;30,189;3,391;49,662;7,264;56,445;18,581;1,137;1,87;2,558;5,479;1,15159591
3;74;42;82,41;84,382;46,854;61,291;80,486;79,06;119,888;93,175;1,49;2,559;1,179;1,52;0,905629192;;5;4;47;61,279;59,219;30,646;31,384;51,941;47,78;101,251;68,04;1,949;3,304;1,424;2,168;1,148955572
2;22;220;174,623;84,143;62,296;20,712;213,438;34,898;248,136;8,078;1,163;3,983;0,231;0,39;10,41631592;;5;96;8;12,49;12,376;5,226;5,747;10,362;9,023;21,883;14,124;2,112;4,188;1,565;2,458;1,141241112
2;54;97;109,741;83,727;32,698;33,416;113,005;76,467;183,52;51,741;1,624;5,613;0,677;1,548;1,618194469;;5;79;8;11,68;10,798;5,768;6,413;9,41;7,338;19,862;12,155;2,111;3,444;1,656;1,895;1,125671421
2;53;224;176,655;83,718;66,245;30,533;218,238;36,257;245,482;11,08;1,125;3,706;0,306;0,363;7,555776173;;2;38;37;41,309;25,48;38,702;18,428;24,886;12,724;60,339;28,417;2,425;1,559;2,233;1,542;1,115266876
5;72;127;131,538;82,35;40,398;29,974;135,31;48,361;218,906;33,968;1,618;5,419;0,702;1,133;2,424340556;;5;64;21;29,413;26,605;14,035;14,236;23,28;17,862;50,923;29,41;2,187;3,628;1,647;2,066;1,10543131
5;57;121;123,096;82,288;27,824;9,109;124,661;35,512;216,803;33,308;1,739;7,792;0,938;3,656;2,470517593;;5;24;39;53,428;50,028;23,608;23,408;40,683;32,302;95,994;55,259;2,36;4,066;1,711;2,361;1,104561446
5;59;164;151,692;82,272;58,299;31,722;172,49;57,321;224,286;39,864;1,3;3,847;0,695;1,257;2,063816978;;4;91;64;87,599;68,03;54,378;41,86;93,08;67,964;115,341;74,897;1,239;2,121;1,102;1,789;1,100940761
3;72;78;102,058;82,06;58,738;67,276;99,616;75,488;147,819;77,462;1,484;2,517;1,026;1,151;1,059358137;;5;65;24;32,627;29,683;14,629;15,495;26,198;19,711;57,053;32,447;2,178;3,9;1,646;2,094;1,093117273
5;27;170;155,775;82,048;50,027;10,502;168,845;9,965;248,454;6,562;1,471;4,966;0,659;0,625;12,50350503;;5;78;8;10,866;9,864;4,867;5,857;9,445;6,959;18,286;10,774;1,936;3,757;1,548;1,84;1,092254663
2;23;90;124,211;81,966;45,461;21,68;128,283;76,604;198,888;44,971;1,55;4,375;0,587;2,074;1,822641258;;5;91;15;23,364;22,18;7,427;6,016;18,262;11,417;44,403;24,222;2,431;5,978;2,122;4,026;1,092064923
5;64;160;150,138;80,902;53,178;32,143;162,938;41,419;234,299;15,443;1,438;4,406;0,373;0,48;5,238748948;;5;25;44;58,163;53,453;25,03;24,238;45,563;35,232;103,894;58,266;2,28;4,151;1,654;2,404;1,090041719
2;84;77;102,416;80,442;31,758;26,764;96,923;59,987;178,566;65,392;1,842;5,623;1,09;2,443;1,230150477;;4;29;136;138,379;57,482;104,982;35,992;140,904;51,349;169,25;62,496;1,201;1,612;1,217;1,736;1,087227306
5;19;174;157,267;80,195;53,28;11,143;172,349;12,758;246,171;7,878;1,428;4,62;0,618;0,707;10,17961412;;1;85;42;44,167;13,987;30,341;3,475;50,811;7,575;51,35;15,182;1,011;1,692;2,004;4,369;1,085436477
5;53;162;152,614;79,498;54,363;30,016;164,875;26,728;238,603;12,114;1,447;4,389;0,453;0,404;6,562489681;;5;46;15;21,554;23,273;8,733;14,888;18,309;18,233;37,621;25,253;2,055;4,308;1,385;1,696;1,085077128
5;51;111;125,233;79,462;50,262;34,178;134,555;68,411;190,88;55,476;1,419;3,798;0,811;1,623;1,43236715;;5;3;44;53,371;45,415;29,954;27,354;42,03;33,691;88,13;49,185;2,097;2,942;1,46;1,798;1,083012221
5;63;180;162,971;79,306;67,174;44,24;180,528;34,247;241,21;11,49;1,336;3,591;0,336;0,26;6,902175805;;1;89;42;43,709;12,695;31,248;2,981;50,11;7,356;49,768;13,694;0,993;1,593;1,862;4,594;1,078692399
2;99;45;87,483;78,957;37,301;19,918;92,445;68,004;132,704;95,361;1,435;3,558;1,402;4,788;0,827979992;;5;77;7;9,161;8,557;3,595;4,285;7,37;5,317;16,517;9,206;2,241;4,594;1,731;2,148;1,075844338
5;65;145;136,434;78,749;60,323;52,103;142,723;60,953;206,254;38,298;1,445;3,419;0,628;0,735;2,056217035;;1;88;42;43,885;12,996;31,224;3,509;50,013;7,654;50,419;13,973;1,008;1,615;1,826;3,982;1,075176978
5;52;198;170,788;78,722;66,189;23,017;197,59;18,228;248,584;4,246;1,258;3,756;0,233;0,184;18,5402732;;1;75;44;45,571;13,411;31,557;2,046;50,891;5,343;54,264;14,371;1,066;1,72;2,69;7,024;1,071583029
2;73;79;104,047;78,021;32,637;20,996;93,059;56,093;186,445;51,626;2,004;5,713;0,92;2,459;1,511273389;;1;86;42;44,218;13,753;30,603;3,302;50,774;7,88;51,277;14,706;1,01;1,676;1,866;4,453;1,069293972
5;83;45;82,821;77,91;56,531;57,996;84,566;81,331;107,365;83,276;1,27;1,899;1,024;1,436;0,935563668;;4;69;104;111,166;50,533;72,886;22,338;113,251;38,414;147,362;53,909;1,301;2,022;1,403;2,413;1,066807829
2;40;62;95,215;77,776;24,59;12,153;68,09;30,185;192,965;42,543;2,834;7,847;1,409;3,501;1,828173848;;1;76;44;45,198;12,973;31,57;2,031;50,818;5,298;53,208;13,83;1,047;1,685;2,61;6,81;1,066060279
2;74;78;104,305;77,756;34,221;11,985;86,762;44,156;191,931;56,097;2,212;5,609;1,27;4,681;1,386099078;;4;19;130;130,97;62,343;96,586;42,184;133,971;57,396;162,354;66,408;1,212;1,681;1,157;1,574;1,065203792
2;10;110;131,446;77,506;53,651;20,173;140,102;56,643;200,586;59,15;1,432;3,739;1,044;2,932;1,31032967;;4;98;81;76,299;46,92;62,4;40,042;81,925;47,033;84,571;49,959;1,032;1,355;1,062;1,248;1,064769821
5;54;130;132,581;77,026;41,379;19,428;133,333;25,26;223,032;16,843;1,673;5,39;0,667;0,867;4,5731758;;4;96;148;135,882;44,3;107,848;30,687;147,118;39,162;152,68;47,094;1,038;1,416;1,203;1,535;1,063069977
5;61;73;96,893;77,017;55,07;60,944;96,798;78,859;138,81;65,998;1,434;2,521;0,837;1,083;1,166959605;;2;58;16;21,075;16,282;18,818;9,247;8,619;6,049;35,787;17,219;4,152;1,902;2,847;1,862;1,057548213
2;41;59;96,503;76,851;27,846;13,284;83,24;53,324;178,424;55,657;2,143;6,407;1,044;4,19;1,380796665;;2;41;58;64,017;56,702;41,414;38,779;44,517;43,469;106,12;59,902;2,384;2,562;1,378;1,545;1,056435399
1;84;200;173,201;76,574;109,528;40,556;193,594;69,53;216,48;69,054;1,118;1,976;0,993;1,703;1,108900281;;5;6;25;33,387;31,755;17,947;22,724;27,546;25,831;54,667;33,409;1,985;3,046;1,293;1,47;1,052086286
5;36;97;117,656;75,24;34,189;9,624;112,966;31,767;205,813;33,481;1,822;6,02;1,054;3,479;2,247244706;;1;87;42;43,77;13,575;30,128;3,443;50,405;7,689;50,776;14,235;1,007;1,685;1,851;4,135;1,048618785
2;83;61;90,694;73,897;33,928;20,935;84,685;55,765;153,469;75,068;1,812;4,523;1,346;3,586;0,98440081;;2;40;40;52,15;51,645;34,368;38,679;35,165;42,038;86,917;54,083;2,472;2,529;1,287;1,398;1,047206893
5;43;169;163,315;73,548;75,587;37,371;176,478;35,473;237,88;11,991;1,348;3,147;0,338;0,321;6,1336002;;1;74;45;45,582;14,396;30,179;2,298;51,355;5,128;55,213;15,06;1,075;1,829;2,937;6,554;1,046123923
3;75;29;63,793;73,149;34,92;50,39;58,621;65,964;97,837;84,512;1,669;2,802;1,281;1,677;0,865545721;;2;49;7;7,206;1,236;7,446;1,012;6,336;0,825;7,837;1,29;1,237;1,052;1,563;1,274;1,04368932
5;55;109;119,36;72,758;39,234;17,793;116,168;35,468;202,678;30,567;1,745;5,166;0,862;1,718;2,380279386;;1;84;34;36,171;10,052;27,578;4,322;42,346;7,542;38,589;10,476;0,911;1,399;1,389;2,424;1,042180661
2;86;83;110,734;72,628;37,174;15,66;93,15;27,9;201,878;27,809;2,167;5,431;0,997;1,776;2,61167248;;2;59;16;20,533;15,271;20,104;9,913;8,074;5,209;33,421;15,895;4,14;1,662;3,052;1,603;1,040861764
2;59;79;98,94;71,664;33,426;21,08;88,37;46,864;175,024;50,733;1,981;5,236;1,083;2,407;1,412571699;;2;39;41;42,919;24,353;40,843;17,466;25,478;12,045;62,437;25,291;2,451;1,529;2,1;1,448;1,038516815
5;44;117;126,252;71,552;42,974;16,865;123,688;23,417;212,094;14,69;1,715;4,935;0,627;0,871;4,87079646;;5;14;54;67,13;56,254;31,771;28,181;52,982;37,257;116,635;58,396;2,201;3,671;1,567;2,072;1,038077292
2;98;47;77,564;71,029;40,149;23,439;79,003;64,15;113,539;88,174;1,437;2,828;1,374;3,762;0,805554925;;5;76;6;8,411;8,729;3,477;5,835;6,866;6,615;14,89;9,06;2,169;4,283;1,37;1,553;1,037919578
2;68;67;92,443;70,879;21,482;12,464;76,808;26,668;179,04;37,763;2,331;8,335;1,416;3,03;1,876943039;;1;77;43;44,614;12,407;31,234;1,858;49,981;4,808;52,627;12,774;1,053;1,685;2,657;6,875;1,029580076
2;44;61;89,525;70,708;30,858;21,785;85,016;65,107;152,702;53,215;1,796;4,949;0,817;2,443;1,328723104;;5;7;55;67,012;56,118;34,36;34,403;57,43;44,724;109,246;57,639;1,902;3,179;1,289;1,675;1,027103603
5;73;198;171,894;70,567;102,826;56,044;190,451;52,592;222,405;36,961;1,168;2,163;0,703;0,66;1,909228646;;1;78;43;44,813;11,564;32,406;1,865;50,077;5,117;51,957;11,782;1,038;1,603;2,303;6,319;1,018851608
5;74;220;189,063;70,325;128,018;74,851;212,482;53,153;226,69;26,801;1,067;1,771;0,504;0,358;2,623969255;;4;59;117;123,229;68,032;101,568;62,462;122,155;64,879;145,965;69,187;1,195;1,437;1,066;1,108;1,016977305
2;85;69;93,594;70,325;32,93;25,854;82,59;54,135;165,261;47,963;2,001;5,019;0,886;1,855;1,466234389;;4;39;140;141,385;55,516;101,291;30,65;138,502;41,917;184,36;55,562;1,331;1,82;1,326;1,813;1,00082859
4;52;97;112,286;70,154;115,067;74,555;114,096;70,191;107,694;65,172;0,944;0,936;0,928;0,874;1,076443872;;5;63;28;35,033;28,589;16,558;15,466;27,704;18,51;60,835;28,451;2,196;3,674;1,537;1,84;0,995172969
5;18;156;152,519;70,024;66,56;11,968;155,522;10,961;235,475;12,926;1,514;3,538;1,179;1,08;5,417298468;;1;91;29;32,006;12,065;25,562;8,853;36,678;12,155;33,778;12,002;0,921;1,321;0,987;1,356;0,994778284
5;84;65;85,982;69,883;39,52;43,412;84,102;64,245;134,325;64,339;1,597;3,399;1,001;1,482;1,086168576;;2;57;24;30,142;23,318;24,482;12,151;12,57;8,386;53,374;23,078;4,246;2,18;2,752;1,899;0,989707522
1;93;53;80,51;69,207;48,795;40,687;78,096;61,48;114,64;82,202;1,468;2,349;1,337;2,02;0,841913822;;5;2;34;39,517;32,906;23,213;22,7;29,378;24,587;65,962;32,567;2,245;2,842;1,325;1,435;0,989697927
2;43;69;95,371;68,98;27,331;13,721;82,87;36,845;175,91;38,166;2,123;6,436;1,036;2,782;1,807367814;;1;90;26;28,245;9,012;23,859;6,876;31,782;9,205;29,094;8,897;0,915;1,219;0,967;1,294;0,987239237
2;12;97;122,779;68,7;59,142;11,186;126,912;51,145;182,282;61,733;1,436;3,082;1,207;5,519;1,112856981;;2;50;56;57,093;42,798;37,645;27,658;40,867;32,169;92,768;42,202;2,27;2,464;1,312;1,526;0,986074116
5;26;140;143,607;68,202;63,63;11,762;140,194;14,308;226,998;15,795;1,619;3,567;1,104;1,343;4,317948718;;4;83;95;96,787;57,437;60,05;40,707;107,021;54,027;123,29;56,25;1,152;2,053;1,041;1,382;0,979333879
2;11;125;137,271;67,122;68,835;19,884;145,597;45,872;197,381;51,483;1,356;2,867;1,122;2,589;1,303770177;;1;92;35;39,273;13,169;29,786;7,982;45,736;12,233;42,296;12,882;0,925;1,42;1,053;1,614;0,978206394
1;85;82;101,446;66,675;72,483;34,726;103,774;66,103;128,08;78,787;1,234;1,767;1,192;2,269;0,846269055;;3;56;99;102,87;46,513;78,117;37,112;118,171;46,139;112,323;45,255;0,951;1,438;0,981;1,219;0,972953798
3;71;37;66,602;65,258;30,432;35,534;61,398;53,12;107,974;75,129;1,759;3,548;1,414;2,114;0,868612653;;2;42;74;77,527;61,333;47,016;39,874;58,478;48,835;127,088;59,667;2,173;2,703;1,222;1,496;0,972836809
4;62;50;84,925;65,133;81,542;70,061;85,816;65,25;87,416;59,518;1,019;1,072;0,912;0,85;1,094341208;;5;18;54;75,958;65,37;26,557;27,117;65,542;43,752;135,776;63,585;2,072;5,113;1,453;2,345;0,972693896
5;34;154;150,219;63,642;83,218;38,018;152,214;38,545;215,224;22,387;1,414;2,586;0,581;0,589;2,84281056;;4;58;149;148,862;60,32;104,424;37,633;151,832;48,927;190,33;58,33;1,254;1,823;1,192;1,55;0,967009284
1;94;39;63,947;62,803;44,469;43,443;66,091;63,623;81,282;72,202;1,23;1,828;1,135;1,662;0,869823551;;2;46;64;69,506;54,026;41,325;29,183;47,597;37,463;119,597;52,136;2,513;2,894;1,392;1,787;0,965016844
4;42;155;134,706;62,491;145,526;67,683;136,208;60,934;122,384;56,127;0,899;0,841;0,921;0,829;1,113385715;;5;35;47;58,068;48,421;25,157;23,052;43,712;28,279;105,336;46,682;2,41;4,187;1,651;2,025;0,964085831
5;41;157;156,742;62,14;97,56;38,936;162,688;51,06;209,979;32,999;1,291;2,152;0,646;0,848;1,883087366;;1;79;45;44,709;11,619;31,763;1,921;50,59;4,875;51,774;11,199;1,023;1,63;2,297;5,829;0,963852311
5;75;59;77,239;61,431;21,746;9,795;72,512;36,523;137,459;56,242;1,896;6,321;1,54;5,742;1,092262011;;5;66;13;17,947;17,504;7,234;12,353;15,368;13,634;31,24;16,808;2,033;4,319;1,233;1,361;0,96023766
4;73;72;96,627;61,195;51,256;21,391;86,474;36,428;152,15;64,849;1,76;2,968;1,78;3,032;0,943653719;;5;62;27;34,325;29,233;17,686;20,006;27,576;22,548;57,712;28,029;2,093;3,263;1,243;1,401;0,958813669
4;33;151;127,887;60,096;139,456;65,501;129,134;58,484;115,072;53,142;0,891;0,825;0,909;0,811;1,130856949;;3;59;89;98,341;41,873;77,456;35,607;110,422;41,491;107,146;40,137;0,97;1,383;0,967;1,127;0,958541303
1;83;139;150,098;59,871;96,413;24,08;140,792;33,221;213,09;46,189;1,514;2,21;1,39;1,918;1,296217714;;3;44;70;77,614;32,553;58,795;24,542;89,339;32,666;84,707;31,108;0,948;1,441;0,952;1,268;0,95561085
5;67;56;72,566;59,478;24,728;16,392;64,67;36,414;128,299;59,677;1,984;5,188;1,639;3,641;0,996665382;;5;8;51;60,281;51,27;28,843;30,762;48,515;39,334;103,485;48,981;2,133;3,588;1,245;1,592;0,955354008
5;46;81;90,717;59,296;26,104;9,431;81,386;13,919;164,661;23,145;2,023;6,308;1,663;2,454;2,561935623;;3;39;80;84,887;28,672;68,819;23,772;94,734;27,541;91,107;27,364;0,962;1,324;0,994;1,151;0,95438058
3;73;22;50,707;59,054;23,198;37,379;43,706;47,252;85,216;69,538;1,95;3,673;1,472;1,86;0,849233513;;2;48;7;7,111;1,257;7,027;0,424;5,973;0,578;8,333;1,198;1,395;1,186;2,074;2,823;0,953062848
2;62;45;66,329;58,444;27,949;13,665;48,47;37,518;122,566;60,813;2,529;4,385;1,621;4,45;0,961044514;;5;0;36;43,525;33,791;24,07;18,451;30,763;21,672;75,742;32,189;2,462;3,147;1,485;1,745;0,952590927
5;42;216;192,127;58,312;115,251;26,85;215,133;10,248;245,997;5,827;1,143;2,134;0,569;0,217;10,00720783;;5;68;33;41,984;35,471;18,064;17,167;31,029;20,883;76,859;33,693;2,477;4,255;1,613;1,963;0,949874545
