FIRE;;;;;;;;;;;;;;;;;NOFIRE;;;;;;;;;;;;;;;
5;45;81;92,142;57,444;29,061;8,532;82,904;12,319;164,461;19,504;1,984;5,659;1,583;2,286;2,945242002;;3;82;104;108,857;40,833;77,157;29,464;123,915;33,569;125,499;38,709;1,013;1,627;1,153;1,314;0,947983249
5;62;227;199,431;56,915;135,758;53,504;226,005;23,808;236,53;12,319;1,047;1,742;0,517;0,23;4,620099034;;4;93;102;99,598;49,209;60,323;27,785;107,294;41,457;131,176;46,636;1,223;2,175;1,125;1,678;0,947712817
1;75;199;184,656;56,659;117,704;17,952;193,493;33,513;242,771;15,722;1,255;2,063;0,469;0,876;3,603803587;;3;36;82;87,382;41,637;64,91;36,076;101,04;39,776;96,197;39,345;0,952;1,482;0,989;1,091;0,944952806
2;97;46;63,499;56,517;39,36;17,734;61,957;54,181;89,179;71,33;1,439;2,266;1,317;4,022;0,792331417;;5;19;58;69,154;54,844;32,262;28,575;54,651;36,274;120,549;51,754;2,206;3,737;1,427;1,811;0,943658376
2;57;42;65,871;55,24;19,325;13,231;52,92;37,434;125,37;41,274;2,369;6,487;1,103;3,119;1,338372826;;1;93;39;42,045;13,071;31,259;7,489;49,312;11,11;45,565;12,309;0,924;1,458;1,108;1,644;0,941703007
5;17;136;142,644;55,059;81,614;10,804;135,115;12,462;211,202;18,462;1,563;2,588;1,481;1,709;2,982287943;;3;47;107;113,165;48,605;85,491;42,452;129,542;45,195;124,462;45,617;0,961;1,456;1,009;1,075;0,938524843
1;20;94;99,852;54,555;85,538;49,228;101,787;52,388;112,232;58,301;1,103;1,312;1,113;1,184;0,935747243;;3;16;111;113,011;44,625;89,293;40,443;127,981;41,698;121,76;41,674;0,951;1,364;0,999;1,03;0,933871148
1;10;79;91,979;54,448;82,885;50,649;93,81;53,174;99,242;57,983;1,058;1,197;1,09;1,145;0,939033855;;2;51;51;54,045;39,861;36,051;24,771;33,811;23,957;92,272;37,212;2,729;2,559;1,553;1,502;0,933544066
2;51;31;55,246;53,662;20,738;9,906;41,365;38,518;103,635;57,724;2,505;4,997;1,499;5,827;0,929630656;;3;30;95;100,996;38,192;78,381;33,496;114,05;34,788;110,558;35,642;0,969;1,411;1,025;1,064;0,93323209
5;35;86;95,376;52,892;36,994;7,737;85,736;7,298;163,398;12,286;1,906;4,417;1,684;1,588;4,305062673;;3;34;91;92,612;37,062;71,534;32,507;104,299;34,637;102,002;34,574;0,978;1,426;0,998;1,064;0,932869246
1;1;146;134,448;51,605;122,826;48,654;136,598;49,699;143,92;54,061;1,054;1,172;1,088;1,111;0,954569838;;3;92;109;118,517;46,654;80,453;30,128;138,56;39,413;136,538;43,514;0,985;1,697;1,104;1,444;0,932696017
1;21;130;126,202;50,898;111,379;46,5;127,205;48,746;140,021;53,12;1,101;1,257;1,09;1,142;0,958170181;;3;72;109;115,346;48,377;81,035;37,068;133,269;42,985;131,733;45,082;0,988;1,626;1,049;1,216;0,931889121
4;94;117;112,898;50,852;111,576;50,053;111,595;48,198;115,522;54,028;1,035;1,035;1,121;1,079;0,941215666;;3;53;88;92,097;33,861;69,739;27,226;105,222;30,791;101,33;31,512;0,963;1,453;1,023;1,157;0,930628156
1;0;122;114,914;50,71;104,661;47,906;116,4;49,487;123,68;52,787;1,063;1,182;1,067;1,102;0,960653191;;3;7;124;128,14;43,772;108,187;43,377;140,651;40,038;135,581;40,663;0,964;1,253;1,016;0,937;0,928972859
5;9;126;134,487;50,431;80,491;9,169;126,195;15,673;196,776;20,878;1,559;2,445;1,332;2,277;2,415509148;;3;64;115;116,055;47,742;83,118;35,658;134,306;44,365;130,742;44,322;0,973;1,573;0,999;1,243;0,928364962
1;12;123;121,497;50,371;110,557;48,309;123,501;49,261;130,432;51,457;1,056;1,18;1,045;1,065;0,978895;;3;29;85;87,42;31,657;69,08;27,644;98,338;29,681;94,842;29,168;0,964;1,373;0,983;1,055;0,921375999
1;11;91;99,247;50,247;89,333;47,461;101,958;48,627;106,451;52,91;1,044;1,192;1,088;1,115;0,94966925;;3;54;75;81,443;32,608;60,186;24,933;94,81;31,194;89,333;30,038;0,942;1,484;0,963;1,205;0,921184985
1;2;165;148,084;50,092;135,741;47,012;150,646;48,47;157,864;52,093;1,048;1,163;1,075;1,108;0,961587929;;5;29;67;80,039;62,843;33,037;28,574;66,63;40,532;140,451;57,879;2,108;4,251;1,428;2,026;0,9210095
2;58;40;59,06;49,467;13,63;11;43,064;17,953;120,485;28,372;2,798;8,839;1,58;2,579;1,743514733;;3;50;97;102,626;39,126;80,592;35,604;115,685;35,999;111,602;35,951;0,965;1,385;0,999;1,01;0,918851914
5;56;67;77,634;49,262;25,304;9,724;68,907;13,252;138,691;21,618;2,013;5,481;1,631;2,223;2,27874919;;3;15;121;126,974;44,386;106,728;44,773;140,046;40,139;134,149;40,772;0,958;1,257;1,016;0,911;0,91857793
1;31;124;120,092;48,705;102,45;44,566;121,386;44,623;136,442;50,585;1,124;1,332;1,134;1,135;0,962834832;;3;46;74;79,42;34,482;57,819;28,078;92,912;32,587;87,53;31,659;0,942;1,514;0,972;1,128;0,918131199
1;63;97;104,954;48,566;86,872;42,759;106,24;41,345;121,75;54,107;1,146;1,401;1,309;1,265;0,897591809;;3;33;101;102,839;35,878;81,901;32,054;114,506;33,005;112,112;32,93;0,979;1,369;0,998;1,027;0,917832655
4;45;116;119,519;47,367;91,194;36,069;109,898;25,504;157,467;49,441;1,433;1,727;1,939;1,371;0,95805101;;3;91;95;98,097;36,699;66,413;21,948;117,445;29,971;110,432;33,618;0,94;1,663;1,122;1,532;0,916046759
4;67;117;111,136;47,345;117,349;48,359;110,05;46,454;106,01;46,498;0,963;0,903;1,001;0,962;1,018215837;;1;94;38;40,783;13,181;30,482;8,905;47,23;11,564;44,637;12,069;0,945;1,464;1,044;1,355;0,915636143
1;73;140;141,693;47,272;113,491;33,215;134,296;34,715;177,293;47,729;1,32;1,562;1,375;1,437;0,990425108;;3;17;114;118,35;43,332;92,355;37,928;134,747;39,907;127,947;39,564;0,95;1,385;0,991;1,043;0,913043478
1;65;188;188,351;47,22;133,686;11,044;188,312;19,578;243,054;14,254;1,291;1,818;0,728;1,291;3,312754315;;5;72;4;6,194;5,354;2,901;3,309;4,323;3,197;11,358;4,881;2,627;3,916;1,527;1,475;0,911654838
3;66;50;63,213;46,961;20,734;10,347;50,658;18,758;118,246;34,152;2,334;5,703;1,821;3,301;1,375058562;;3;68;124;132,067;52,755;94,389;39,517;154,819;48,245;146,994;47,957;0,949;1,557;0,994;1,214;0,909051275
2;50;30;54,63;46,857;17,614;5,922;31,338;9,976;114,939;30,038;3,668;6,525;3,011;5,072;1,559924096;;3;18;115;118,919;44,348;91,306;38,521;135,88;40,41;129,571;40,245;0,954;1,419;0,996;1,045;0,907481735
4;82;66;78,457;46,764;46,915;24,662;69,602;30,21;118,853;48,318;1,708;2,533;1,599;1,959;0,967838073;;5;32;46;54,803;44,058;22,29;18,294;41,8;24,379;100,32;39,955;2,4;4,501;1,639;2,184;0,906872759
2;13;76;90,623;46,227;55,066;12,766;83,258;27,28;133,546;48,401;1,604;2,425;1,774;3,791;0,955083573;;3;48;95;98,118;36,812;74,16;31,256;112,47;33,208;107,725;33,367;0,958;1,453;1,005;1,068;0,906416386
3;64;49;66,761;45,979;21,051;5,376;51,995;11,326;127,237;14,846;2,447;6,044;1,311;2,762;3,097063182;;3;60;91;98,463;44,031;69,917;36,317;116,347;40,696;109,126;39,907;0,938;1,561;0,981;1,099;0,906338716
4;78;97;90,314;45,926;98,723;49,971;89,525;44,793;82,693;41,165;0,924;0,838;0,919;0,824;1,115656504;;3;58;117;118,232;43,918;92,029;38,838;134,09;40,665;128,578;39,74;0,959;1,397;0,977;1,023;0,904868163
1;41;74;85,433;45,813;71,898;40,103;86,965;42,666;97,437;50,38;1,12;1,355;1,181;1,256;0,909348948;;3;25;109;108,898;34,075;87,509;29,66;121,931;30,922;117,254;30,825;0,962;1,34;0,997;1,039;0,904622157
5;33;198;189,266;45,724;133,379;23,318;197,418;14,633;237,002;6,76;1,201;1,777;0,462;0,29;6,763905325;;5;34;42;50,368;39,957;24,638;21,702;36,877;25,174;89,589;36,094;2,429;3,636;1,434;1,663;0,90332107
1;74;168;181,43;45,102;131,536;9,17;178,312;21,83;234,442;15,245;1,315;1,782;0,698;1,662;2,95847819;;3;37;98;100,433;37,766;76,56;33,228;114,702;33,877;110,035;34,078;0,959;1,437;1,006;1,026;0,902346026
3;65;48;61,07;44,517;19,506;9,246;47,469;15,254;116,235;25,908;2,449;5,959;1,698;2,802;1,718272348;;3;43;94;94,225;34,057;72,054;29,387;107,333;30,509;103,286;30,656;0,962;1,433;1,005;1,043;0,900138004
5;25;101;111,338;44,326;68,098;20,167;99,746;14,809;166,171;16,051;1,666;2,44;1,084;0,796;2,761572488;;3;11;104;107,338;36,009;83,054;30,63;121,61;31,75;117,35;32,404;0,965;1,413;1,021;1,058;0,89988614
5;82;21;38,378;44,148;19,907;23,551;32,139;36,171;63,086;54,713;1,963;3,169;1,513;2,323;0,806901468;;2;52;49;56,506;43,033;35,262;23,384;34,17;25,747;100,086;38,684;2,929;2,838;1,502;1,654;0,898938024
1;42;111;111,124;44,013;99,234;41,057;111,499;41,622;122,64;46,035;1,1;1,236;1,106;1,121;0,956076898;;3;49;88;87,439;28,4;68,861;23,513;99,216;26,181;94,242;25,519;0,95;1,369;0,975;1,085;0,898556338
4;77;101;105,125;43,597;102,155;39,317;101,203;42,326;112,018;47,887;1,107;1,097;1,131;1,218;0,9104141;;5;69;39;50,882;42,848;17,451;14,731;38,704;21,518;96,491;38,494;2,493;5,529;1,789;2,613;0,898384989
2;47;29;42,199;43,564;16,405;17,399;29,877;27,846;80,317;48,428;2,688;4,896;1,739;2,783;0,899562237;;4;50;144;137,44;67,994;100,885;61,811;143,89;63,522;167,546;61,071;1,164;1,661;0,961;0,988;0,898182193
3;67;43;56,058;43,473;18,984;8,778;43,242;17,286;105,949;35,581;2,45;5,581;2,058;4,054;1,221803772;;4;20;183;168,561;64,557;141,758;65,301;176,197;61,214;187,728;57,855;1,065;1,324;0,945;0,886;0,896184767
2;56;45;61,776;43,049;24,24;9,676;47,88;17,002;113,208;30,49;2,364;4,67;1,793;3,151;1,411905543;;3;83;111;114,008;38,446;80,24;26,186;131,73;29,155;130,054;34,448;0,987;1,621;1,182;1,316;0,896009988
4;87;54;65,734;42,993;64,92;43,631;64,997;42,887;67,285;42,411;1,035;1,036;0,989;0,972;1,013722855;;4;9;141;141,482;56,139;101,808;41,309;141,869;45,94;180,77;50,199;1,274;1,776;1,093;1,215;0,894191204
2;55;31;50,259;42,92;13,482;9,415;33,539;14,97;103,757;26,825;3,094;7,696;1,792;2,849;1,6;;3;66;128;124,949;43,918;93,958;35,208;141,474;39,567;139,416;39,223;0,985;1,484;0,991;1,114;0,893096225
1;56;168;178,679;42,767;137,675;11,56;173,646;28,488;224,717;26,751;1,294;1,632;0,939;2,314;1,59870659;;3;62;118;120,686;45,182;83,709;31,6;141,714;37,907;136,637;40,308;0,964;1,632;1,063;1,276;0,892125183
5;2;62;87,719;42,544;147,334;3,75;54,619;5,797;61,205;5,443;1,121;0,415;0,939;1,452;7,816277788;;3;2;128;133,25;39,35;111,123;37,991;146,17;35,055;142,458;35,096;0,975;1,282;1,001;0,924;0,891893266
4;43;49;62,548;41,66;63,373;43,333;63,854;41,666;60,416;39,825;0,946;0,953;0,956;0,919;1,046076585;;5;73;4;5,244;4,416;1,81;1,512;3,858;1,955;10,064;3,931;2,609;5,561;2,011;2,601;0,890172101
5;24;167;169,028;41,585;135,387;33,109;161,854;28,033;209,842;21,377;1,296;1,55;0,763;0,646;1,945315058;;3;69;128;127,426;47,112;91,678;32,025;148,694;43,984;141,906;41,934;0,954;1,548;0,953;1,309;0,890091696
5;69;17;31,574;41,518;19,374;25,293;29,093;35,846;46,256;53,628;1,59;2,387;1,496;2,12;0,774185127;;3;3;137;137,475;39,189;113,094;36,289;151,987;34,301;147,344;34,806;0,969;1,303;1,015;0,959;0,888157391
4;57;130;124,497;41,512;134,216;41,601;126,464;40,804;112,81;39,232;0,892;0,841;0,961;0,943;1,058115824;;3;61;84;88,043;35,305;63,501;29,441;103,429;31,108;97,198;31,335;0,94;1,531;1,007;1,064;0,887551338
5;66;61;69,866;40,562;26,242;6,577;61,355;7,996;122;11,622;1,988;4,649;1,453;1,767;3,490104973;;3;40;95;99,063;39,727;72,693;35,128;115,256;34,731;109,242;35,118;0,948;1,503;1,011;1;0,883983185
4;63;52;64,523;40,53;42,83;21,374;58,475;27,037;92,262;49,633;1,578;2,154;1,836;2,322;0,816593798;;3;55;107;112,943;41,473;80,589;29,562;132,77;36,689;125,472;36,65;0,945;1,557;0,999;1,24;0,883707472
4;69;74;76,655;40,418;87,722;45,096;76,454;38,804;65,789;33,479;0,86;0,75;0,863;0,742;1,207264255;;4;10;154;147,098;61,667;102,461;45,151;154,848;54,656;183,986;54,493;1,188;1,796;0,997;1,207;0,883665494
1;57;123;134,881;40,341;115,171;16,786;126,323;28,246;163,147;50,417;1,292;1,417;1,785;3,003;0,800146776;;3;20;121;121,91;42,401;92,853;36,482;138,699;37,206;134,179;37,439;0,967;1,445;1,006;1,026;0,882974458
5;3;73;95,65;40,239;151,667;2,795;64,264;7,586;71,018;7,904;1,105;0,468;1,042;2,828;5,090966599;;3;41;96;98,593;34,428;74,904;30,328;111,466;29,512;109,41;30,353;0,982;1,461;1,028;1,001;0,88163704
4;0;123;132,084;40,085;141,872;38,168;134,85;39,228;119,531;39,543;0,886;0,843;1,008;1,036;1,013706598;;5;17;86;101,412;74,281;37,41;30,598;103,064;57,884;163,762;65,421;1,589;4,378;1,13;2,138;0,8807232
1;22;165;156,025;39,876;139,554;36,286;156,525;36,785;171,995;39,671;1,099;1,232;1,078;1,093;1,005167503;;3;19;108;109,455;38,156;85,426;35,259;124,658;33,343;118,283;33,561;0,949;1,385;1,007;0,952;0,879573331
1;53;139;127,62;39,351;113,069;37,767;128,73;34,103;141,061;40,774;1,096;1,248;1,196;1,08;0,965100309;;3;5;117;118,929;37,198;95,795;34,719;133,062;32,59;127,93;32,674;0,961;1,335;1,003;0,941;0,878380558
5;16;123;135,793;39,286;98,776;10,254;122,568;9,363;186,035;19,179;1,518;1,883;2,048;1,87;2,048386256;;3;63;139;135,9;51,226;93,376;35,591;157,037;43,236;157,286;44,986;1,002;1,684;1,04;1,264;0,878186858
4;29;117;114,999;38,898;124,944;39,014;116,842;38,598;103,213;35,861;0,883;0,826;0,929;0,919;1,084688101;;3;93;118;125,139;45,879;83,28;26,819;147,77;36,79;144,366;40,098;0,977;1,734;1,09;1,495;0,873994638
4;99;75;79,429;38,746;58,941;32,711;82,904;35,588;96,442;38,025;1,163;1,636;1,068;1,162;1,01896121;;3;10;114;115,988;39,687;87,411;33,499;133,363;34,107;127,19;34,578;0,954;1,455;1,014;1,032;0,87126767
4;61;184;170,426;38,489;178,038;41,356;172,266;38,054;160,973;33,692;0,934;0,904;0,885;0,815;1,142378013;;3;35;105;105,694;38,24;77,902;30,791;122,458;34,027;116,723;33,255;0,953;1,498;0,977;1,08;0,869639121
5;68;27;41,178;38,457;21,493;23,741;36,203;30,14;65,838;44,095;1,819;3,063;1,463;1,857;0,872139698;;3;6;116;117,892;38,651;92,176;35,313;133,699;33,152;127,802;33,558;0,956;1,386;1,012;0,95;0,868231094
2;70;43;53,272;38,135;29,061;18,885;36,995;20,357;93,76;33,189;2,534;3,226;1,63;1,757;1,149025279;;3;0;133;138,521;50,76;113,97;54,907;153,757;43,069;147,837;44,024;0,961;1,297;1,022;0,802;0,867297084
4;55;80;85,387;37,757;79,61;33,812;81,338;27,818;95,214;47,047;1,171;1,196;1,691;1,391;0,802537888;;5;38;59;68,861;55,748;27,621;27,173;56,958;39,765;122,003;48,348;2,142;4,417;1,216;1,779;0,867259812
5;8;117;130,686;37,643;97,211;10,079;116,453;11,032;178,394;20,703;1,532;1,835;1,877;2,054;1,818238903;;5;80;4;5,601;4,654;2,002;1,463;3,79;1,033;11,011;4,032;2,905;5,501;3,901;2,757;0,866351526
3;63;41;53,724;37,47;20,478;3,785;39,245;8,104;101,45;23,224;2,585;4,954;2,866;6,135;1,613417155;;3;28;104;104,835;33,249;81,346;28,32;119,534;28,994;113,624;28,789;0,951;1,397;0,993;1,017;0,865860627
5;31;121;128,208;37,295;101,939;16,071;119,266;27,803;163,419;33,64;1,37;1,603;1,21;2,093;1,108650416;;5;1;28;31,23;24,295;17,971;15,972;21,475;16,535;54,243;21,017;2,526;3,018;1,271;1,316;0,865075118
4;54;63;74,505;37,141;65,382;28,592;72,043;30,661;86,088;46,447;1,195;1,317;1,515;1,624;0,799642603;;3;8;112;113,294;42,634;84,666;38,597;131,245;36,737;123,971;36,848;0,945;1,464;1,003;0,955;0,86428672
5;71;40;48,717;36,723;19,083;13,357;40,962;19,49;86,107;33,93;2,102;4,512;1,741;2,54;1,082316534;;3;94;126;130,931;47,738;86,947;27,356;155,338;38,417;150,509;41,217;0,969;1,731;1,073;1,507;0,863400226
1;55;156;167,115;36,458;136,344;9,585;159,47;19,194;205,531;32,343;1,289;1,507;1,685;3,374;1,127230003;;4;78;127;119,742;54,679;71,456;31,432;130,802;43,828;156,968;47,126;1,2;2,197;1,075;1,499;0,86186653
5;1;48;69,415;35,885;119,013;11,366;42,995;4,362;46,238;4,463;1,075;0,389;1,023;0,393;8,04055568;;5;90;21;28,63;24,631;10,827;13,81;22,459;15,83;52,603;21,19;2,342;4,858;1,339;1,534;0,860297998
5;4;89;103,996;35,821;151,957;2,647;75,771;11,492;84,261;14,969;1,112;0,555;1,303;5,655;2,393012225;;5;28;58;67,721;53,787;29,346;29,165;56,125;40,01;117,691;46,082;2,097;4,011;1,152;1,58;0,856749772
2;72;28;44,412;35,628;19,64;11,309;30,306;19,473;83,29;31,255;2,748;4,241;1,605;2,764;1,139913614;;3;51;88;89,812;32,898;64,89;26,707;104,731;28,285;99,814;28,104;0,953;1,538;0,994;1,052;0,854276856
4;47;123;119,563;35,608;137,629;32,624;121,406;32,116;99,653;31,335;0,821;0,724;0,976;0,96;1,136365087;;3;67;120;118,977;45,416;82,422;33,073;141,421;39,404;133,086;38,761;0,941;1,615;0,984;1,172;0,853465739
4;97;56;60,658;35,53;45,757;29,617;61,565;33,702;74,651;36,817;1,213;1,631;1,092;1,243;0,965043322;;2;43;83;92,74;65,642;49,725;38,687;78,696;54,676;149,798;56,01;1,904;3,013;1,024;1,448;0,853264678
2;34;48;62,576;35,478;30,726;6,578;48,691;7,983;108,31;19,239;2,224;3,525;2,41;2,925;1,844066739;;3;80;73;77,034;41,947;43,878;33,38;98,09;34,659;89,134;35,696;0,909;2,031;1,03;1,069;0,850978616
2;82;42;50,765;35,407;28,544;17,144;40,158;17,72;83,592;38,331;2,082;2,929;2,163;2,236;0,923717096;;3;95;132;135,517;46,371;92,074;25,262;160,029;37,607;154,448;39,391;0,965;1,677;1,047;1,559;0,849474887
3;57;37;51,879;35,319;18,68;2,367;36,702;3,317;100,256;7,265;2,732;5,367;2,191;3,069;4,861527873;;3;13;111;110,466;35,154;83,576;28,979;127,045;29,715;120,778;29,673;0,951;1,445;0,999;1,024;0,844086022
4;71;90;95,632;35,137;86,773;39,697;96,248;33,934;103,875;28,805;1,079;1,197;0,849;0,726;1,219822947;;5;27;75;87,063;64,838;33,491;26,792;76,994;43,578;150,704;54,529;1,957;4,5;1,251;2,035;0,841003732
1;76;112;119,466;34,853;88,021;11,01;111,61;15,96;158,766;25,946;1,423;1,804;1,626;2,357;1,34328991;;3;4;114;114,701;31,979;90,541;26,983;129,298;26,992;124,266;26,89;0,961;1,372;0,996;0,997;0,840864317
2;71;31;41,917;34,822;24,658;19,438;29,851;22,13;71,243;38,297;2,387;2,889;1,731;1,97;0,909261822;;5;83;4;4,434;3,185;1,654;1,125;3,696;1,176;7,95;2,673;2,151;4,806;2,273;2,375;0,839246468
2;96;45;51,563;34,796;38,819;16,566;45,474;26,727;70,397;45,708;1,548;1,813;1,71;2,759;0,761267174;;3;21;120;120,649;37,118;91,901;30,824;136,829;31,102;133,218;31,136;0,974;1,45;1,001;1,01;0,838838299
5;32;197;191,163;34,775;151,877;11,6;194,155;19,641;227,458;15,425;1,172;1,498;0,785;1,33;2,25445705;;3;57;95;95,413;32,628;69,298;24,99;111,784;27,864;105,157;27,347;0,941;1,517;0,981;1,094;0,838145151
4;75;115;115,722;34,685;130,877;32,41;116,427;32,625;99,861;31,823;0,858;0,763;0,975;0,982;1,089934953;;3;26;111;111,538;32,039;86,427;24,661;126,331;28,295;121,856;26,736;0,965;1,41;0,945;1,084;0,834482974
2;48;40;45,414;34,579;19,822;18,261;35,589;20,868;80,832;28,499;2,271;4,078;1,366;1,561;1,213340819;;3;31;127;124,008;34,05;96,842;27,222;137,216;28,684;137,966;28,409;1,005;1,425;0,99;1,044;0,834331865
4;66;113;111,178;34,511;127,765;31,067;112,322;31,629;93,446;31,884;0,832;0,731;1,008;1,026;1,082392423;;3;24;100;102,011;29,716;78,304;22,842;116,728;25,601;111,002;24,748;0,951;1,418;0,967;1,083;0,832817337
4;98;71;73,962;34,449;58,342;29,022;76,392;32,897;87,15;34,812;1,141;1,494;1,058;1,2;0,989572561;;3;27;98;98,441;30,579;74,739;25,394;113,285;25,56;107,298;25,425;0,947;1,436;0,995;1,001;0,831452958
4;92;64;71,165;34,379;54,64;27,906;66,405;26,32;92,45;36,407;1,392;1,692;1,383;1,305;0,944296427;;3;9;98;99,923;39,644;69,478;33,389;119,214;33,14;111,077;32,839;0,932;1,599;0,991;0,984;0,828347291
1;92;31;43,315;34,205;28,267;17,728;39,664;23,265;62,014;45,441;1,563;2,194;1,953;2,563;0,752734315;;5;12;50;60,374;46,44;25,776;18,964;43,925;23,775;111,422;38,363;2,537;4,323;1,614;2,023;0,826076658
4;76;96;96,916;34,158;111,21;32,219;95,941;32,176;83,598;32,316;0,871;0,752;1,004;1,003;1,056999629;;3;70;81;83,2;39,151;50,723;30,037;103,645;32,158;95,232;32,32;0,919;1,877;1,005;1,076;0,825521698
1;82;51;59,278;33,368;39,63;20,307;56,707;23,336;81,496;38,692;1,437;2,056;1,658;1,905;0,862400496;;5;67;43;60,714;50,607;17,243;11,059;45,694;17,259;119,205;41,552;2,609;6,913;2,408;3,757;0,821072184
4;72;61;68,671;33,293;46,822;16,514;64,987;22,003;94,203;37,757;1,45;2,012;1,716;2,286;0,881770268;;5;51;24;30,766;24,538;11,077;9,465;23,042;10,59;58,179;20,143;2,525;5,252;1,902;2,128;0,820890048
4;58;89;91,297;32,898;104,984;31,845;91,28;31,569;77,626;29,357;0,85;0,739;0,93;0,922;1,120618592;;3;22;115;116,487;31,151;91,101;25,209;131,474;25,484;126,886;25,476;0,965;1,393;1;1,011;0,817822863
4;95;59;63,714;32,873;56,826;29,977;63,23;30,628;71,086;36,1;1,124;1,251;1,179;1,204;0,910609418;;3;38;101;101,503;30,393;77,419;25,083;116,41;25,26;110,68;24,851;0,951;1,43;0,984;0,991;0,817655381
5;40;48;55,853;32,751;38,331;16,769;49,693;23,758;79,534;38,295;1,601;2,075;1,612;2,284;0,855229142;;5;45;45;61,243;49,794;21,57;16,227;44,075;20,536;118,083;40,666;2,679;5,475;1,98;2,506;0,816684741
1;3;190;183,397;32,693;167,339;28,845;183,379;30,077;199,474;30,878;1,088;1,192;1,027;1,071;1,058779714;;3;32;121;119,521;33,654;91,693;26,614;135,373;27,735;131,496;27,407;0,971;1,434;0,988;1,03;0,814375706
